Category	Term	Count	%	PValue	List Total	Pop Hits	Pop Total	Fold Enrichment	FDR
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	14	30.4347826086957	0.000347399076871	37	849	6549	2.91872791519435	0.053846856915075
GOTERM_BP_DIRECT	GO:0050684~regulation of mRNA processing	3	6.52173913043478	0.001032419386242	37	9	6549	59	0.080012502433741
GOTERM_BP_DIRECT	GO:0006325~chromatin organization	3	6.52173913043478	0.005777921941149	37	21	6549	25.2857142857143	0.298525966959361
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	6	13.0434782608696	0.009121909229975	37	238	6549	4.46218487394958	0.353473982661526
GOTERM_BP_DIRECT	GO:0018026~peptidyl-lysine monomethylation	2	4.34782608695652	0.032544439331509	37	6	6549	59	1
GOTERM_BP_DIRECT	GO:0006355~regulation of transcription, DNA-templated	8	17.3913043478261	0.051298540867871	37	627	6549	2.25837320574163	1
GOTERM_BP_DIRECT	GO:0022604~regulation of cell morphogenesis	2	4.34782608695652	0.089555331548313	37	17	6549	20.8235294117647	1
GOTERM_BP_DIRECT	GO:0060070~canonical Wnt signaling pathway	2	4.34782608695652	0.099563961009395	37	19	6549	18.6315789473684	1
GOTERM_CC_DIRECT	GO:0005634~nucleus	26	56.5217391304348	0.00055096285323	41	2500	6954	1.76394146341463	0.039118362579354
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	19	41.304347826087	0.001343862181827	41	1569	6954	2.05391036701954	0.047707107454851
GOTERM_MF_DIRECT	GO:0003676~nucleic acid binding	10	21.7391304347826	0.000476046924485	40	407	6600	4.05405405405405	0.039511894732242
GOTERM_MF_DIRECT	GO:0003682~chromatin binding	6	13.0434782608696	0.008020879535729	40	214	6600	4.62616822429907	0.300461040431818
GOTERM_MF_DIRECT	GO:0003713~transcription coactivator activity	5	10.8695652173913	0.010860037605969	40	148	6600	5.57432432432432	0.300461040431818
GOTERM_MF_DIRECT	GO:0000166~nucleotide binding	5	10.8695652173913	0.020169045356379	40	178	6600	4.63483146067416	0.347914354195572
GOTERM_MF_DIRECT	GO:0003677~DNA binding	10	21.7391304347826	0.020958696035878	40	715	6600	2.30769230769231	0.347914354195572
GOTERM_MF_DIRECT	GO:0016279~protein-lysine N-methyltransferase activity	2	4.34782608695652	0.029207085565753	40	5	6600	66	0.38362174529181
GOTERM_MF_DIRECT	GO:0003690~double-stranded DNA binding	3	6.52173913043478	0.032353641169189	40	48	6600	10.3125	0.38362174529181
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	3	6.52173913043478	0.07889139320697	40	79	6600	6.26582278481013	0.759381679101964
GOTERM_MF_DIRECT	GO:0003700~transcription factor activity, sequence-specific DNA binding	6	13.0434782608696	0.082342591709852	40	397	6600	2.49370277078086	0.759381679101964
GOTERM_MF_DIRECT	GO:0030145~manganese ion binding	2	4.34782608695652	0.095954157723433	40	17	6600	19.4117647058824	0.79641950910449
