Category	Term	Count	%	PValue	List Total	Pop Hits	Pop Total	Fold Enrichment	Benjamini
GOTERM_BP_DIRECT	GO:0043488~regulation of mRNA stability	18	8.45070422535211	6.17472704739698E-16	179	103	16792	16.3939903455009	5.66839942951043E-13
GOTERM_BP_DIRECT	GO:0038061~NIK/NF-kappaB signaling	13	6.10328638497653	4.14943047225805E-12	179	66	16792	18.477738276621	1.90458858676644E-09
GOTERM_BP_DIRECT	GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle	13	6.10328638497653	1.03074238015493E-11	179	71	16792	17.176489102211	3.15407168327408E-09
GOTERM_BP_DIRECT	GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition	13	6.10328638497653	2.38562209555081E-11	179	76	16792	16.046456924434	5.47500270928911E-09
GOTERM_BP_DIRECT	GO:0031145~anaphase-promoting complex-dependent catabolic process	13	6.10328638497653	3.83117445579879E-11	179	79	16792	15.4370978007213	7.03403630084658E-09
GOTERM_BP_DIRECT	GO:0002223~stimulatory C-type lectin receptor signaling pathway	14	6.57276995305164	8.21357471973587E-11	179	105	16792	12.5080074487896	1.25667693211959E-08
GOTERM_BP_DIRECT	GO:0006521~regulation of cellular amino acid metabolic process	11	5.16431924882629	1.21977703618573E-10	179	51	16792	20.2335414612772	1.59965045602642E-08
GOTERM_BP_DIRECT	GO:0060071~Wnt signaling pathway, planar cell polarity pathway	13	6.10328638497653	2.40932880166017E-10	179	92	16792	13.2557687636629	2.76470479990505E-08
GOTERM_BP_DIRECT	GO:0033209~tumor necrosis factor-mediated signaling pathway	14	6.57276995305164	3.63224447017026E-10	179	118	16792	11.1300066281602	3.70488935957367E-08
GOTERM_BP_DIRECT	GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	11	5.16431924882629	1.09341795512842E-09	179	63	16792	16.3795335638911	9.33067038072864E-08
GOTERM_BP_DIRECT	GO:0000209~protein polyubiquitination	16	7.51173708920188	1.11805418505463E-09	179	184	16792	8.15739616225407	9.33067038072864E-08
GOTERM_BP_DIRECT	GO:0090090~negative regulation of canonical Wnt signaling pathway	15	7.04225352112676	2.06785515679392E-09	179	163	16792	8.63282722692532	1.58190919494735E-07
GOTERM_BP_DIRECT	GO:0090263~positive regulation of canonical Wnt signaling pathway	13	6.10328638497653	5.41542462126367E-09	179	120	16792	10.1627560521415	3.82412292486157E-07
GOTERM_BP_DIRECT	GO:0050852~T cell receptor signaling pathway	14	6.57276995305164	6.04117583266284E-09	179	148	16792	8.87392420353314	3.88984195640763E-07
GOTERM_BP_DIRECT	GO:1900034~regulation of cellular response to heat	11	5.16431924882629	6.35595090916279E-09	179	75	16792	13.7588081936685	3.88984195640763E-07
GOTERM_BP_DIRECT	GO:0006986~response to unfolded protein	9	4.22535211267606	1.1818288116644E-08	179	42	16792	20.1021548284118	6.78074280692449E-07
GOTERM_BP_DIRECT	GO:0038095~Fc-epsilon receptor signaling pathway	14	6.57276995305164	5.54834036202605E-08	179	178	16792	7.37831900069048	2.99610379549407E-06
GOTERM_BP_DIRECT	GO:0006457~protein folding	14	6.57276995305164	6.33149535757519E-08	179	180	16792	7.29633767846058	3.22906263236335E-06
GOTERM_BP_DIRECT	GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process	14	6.57276995305164	2.58073277199733E-07	179	203	16792	6.46965902523599	1.2469014129966E-05
GOTERM_BP_DIRECT	GO:0090383~phagosome acidification	6	2.8169014084507	8.45357033481232E-06	179	27	16792	20.846679081316	0.000388018878368
GOTERM_BP_DIRECT	GO:0042026~protein refolding	5	2.34741784037559	1.52091856570733E-05	179	15	16792	31.2700186219739	0.000664858687295
GOTERM_BP_DIRECT	GO:0015991~ATP hydrolysis coupled proton transport	6	2.8169014084507	2.02011034933098E-05	179	32	16792	17.5893854748603	0.000842936954857
GOTERM_BP_DIRECT	GO:0000165~MAPK cascade	13	6.10328638497653	2.36349620393836E-05	179	262	16792	4.65469742846177	0.000943343267485
GOTERM_BP_DIRECT	GO:0033572~transferrin transport	6	2.8169014084507	3.17384309550062E-05	179	35	16792	16.0817238627295	0.001213994984029
GOTERM_BP_DIRECT	GO:0090084~negative regulation of inclusion body assembly	4	1.87793427230047	0.000133055407648	179	10	16792	37.5240223463687	0.004885794568848
GOTERM_BP_DIRECT	GO:0009408~response to heat	6	2.8169014084507	0.000149775502642	179	48	16792	11.7262569832402	0.005092367089835
GOTERM_BP_DIRECT	GO:0051603~proteolysis involved in cellular protein catabolic process	6	2.8169014084507	0.000149775502642	179	48	16792	11.7262569832402	0.005092367089835
GOTERM_BP_DIRECT	GO:0031396~regulation of protein ubiquitination	4	1.87793427230047	0.00059249194439	179	16	16792	23.4525139664804	0.019425271605373
GOTERM_BP_DIRECT	GO:0006979~response to oxidative stress	7	3.28638497652582	0.001123690050272	179	110	16792	5.96973082783139	0.035570602281021
GOTERM_BP_DIRECT	GO:0016241~regulation of macroautophagy	5	2.34741784037559	0.001190319509739	179	44	16792	10.6602336211275	0.03642377699801
GOTERM_BP_DIRECT	GO:0008286~insulin receptor signaling pathway	6	2.8169014084507	0.001430098066975	179	78	16792	7.21615814353244	0.042349355660753
GOTERM_CC_DIRECT	GO:0000502~proteasome complex	14	6.57276995305164	2.90044883804591E-14	187	60	18224	22.7393939393939	6.64202783912514E-12
GOTERM_CC_DIRECT	GO:0005829~cytosol	70	32.8638497652582	7.56327348942547E-10	187	3315	18224	2.05786370492253	8.65994814539217E-08
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	62	29.1079812206573	2.46121840985096E-09	187	2811	18224	2.14947770123864	1.8787300528529E-07
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	57	26.7605633802817	2.10274713745445E-07	187	2784	18224	1.99529780564263	1.20382273619268E-05
GOTERM_CC_DIRECT	GO:0022624~proteasome accessory complex	6	2.8169014084507	5.87916831559945E-07	187	17	18224	34.3957219251337	2.69265908854455E-05
