Category	Term	Count	%	PValue	List Total	Pop Hits	Pop Total	Fold Enrichment	FDR
GOTERM_BP_DIRECT	GO:0061077~chaperone-mediated protein folding	5	2.48756218905473	0.001516300935472	180	19	6549	9.57456140350877	1
GOTERM_BP_DIRECT	GO:0006465~signal peptide processing	4	1.99004975124378	0.002091265338259	180	10	6549	14.5533333333333	1
GOTERM_BP_DIRECT	GO:0002474~antigen processing and presentation of peptide antigen via MHC class I	5	2.48756218905473	0.002684221501672	180	22	6549	8.26893939393939	1
GOTERM_BP_DIRECT	GO:0006506~GPI anchor biosynthetic process	4	1.99004975124378	0.003682368176522	180	12	6549	12.1277777777778	1
GOTERM_BP_DIRECT	GO:0002576~platelet degranulation	6	2.98507462686567	0.009544239799516	180	48	6549	4.54791666666667	1
GOTERM_BP_DIRECT	GO:0018279~protein N-linked glycosylation via asparagine	4	1.99004975124378	0.010294624191692	180	17	6549	8.56078431372549	1
GOTERM_BP_DIRECT	GO:0044829~positive regulation by host of viral genome replication	3	1.49253731343284	0.010365483557096	180	6	6549	18.1916666666667	1
GOTERM_BP_DIRECT	GO:0036498~IRE1-mediated unfolded protein response	5	2.48756218905473	0.01189211624059	180	33	6549	5.51262626262626	1
GOTERM_BP_DIRECT	GO:0034975~protein folding in endoplasmic reticulum	3	1.49253731343284	0.014252421785821	180	7	6549	15.5928571428571	1
GOTERM_BP_DIRECT	GO:0050900~leukocyte migration	6	2.98507462686567	0.015466993846307	180	54	6549	4.04259259259259	1
GOTERM_BP_DIRECT	GO:0006509~membrane protein ectodomain proteolysis	3	1.49253731343284	0.028940194386034	180	10	6549	10.915	1
GOTERM_BP_DIRECT	GO:0008543~fibroblast growth factor receptor signaling pathway	5	2.48756218905473	0.03366821498868	180	45	6549	4.04259259259259	1
GOTERM_BP_DIRECT	GO:0006888~ER to Golgi vesicle-mediated transport	7	3.48258706467662	0.043182440703185	180	94	6549	2.70939716312057	1
GOTERM_BP_DIRECT	GO:0030148~sphingolipid biosynthetic process	3	1.49253731343284	0.047551493070601	180	13	6549	8.39615384615385	1
GOTERM_BP_DIRECT	GO:0006898~receptor-mediated endocytosis	5	2.48756218905473	0.049851420767272	180	51	6549	3.56699346405229	1
GOTERM_BP_DIRECT	GO:0006486~protein glycosylation	4	1.99004975124378	0.051565964241758	180	31	6549	4.69462365591398	1
GOTERM_BP_DIRECT	GO:0046135~pyrimidine nucleoside catabolic process	2	0.99502487562189	0.053921833370183	180	2	6549	36.3833333333333	1
GOTERM_BP_DIRECT	GO:1903298~negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway	2	0.99502487562189	0.053921833370183	180	2	6549	36.3833333333333	1
GOTERM_BP_DIRECT	GO:0006611~protein export from nucleus	3	1.49253731343284	0.061783100473787	180	15	6549	7.27666666666667	1
GOTERM_BP_DIRECT	GO:0030433~ER-associated ubiquitin-dependent protein catabolic process	4	1.99004975124378	0.06473405193018	180	34	6549	4.28039215686275	1
GOTERM_BP_DIRECT	GO:0048208~COPII vesicle coating	4	1.99004975124378	0.06473405193018	180	34	6549	4.28039215686275	1
GOTERM_BP_DIRECT	GO:0006890~retrograde vesicle-mediated transport, Golgi to ER	5	2.48756218905473	0.0660802396374	180	56	6549	3.2485119047619	1
GOTERM_BP_DIRECT	GO:0006457~protein folding	7	3.48258706467662	0.072115803486644	180	107	6549	2.38021806853583	1
GOTERM_BP_DIRECT	GO:0007283~spermatogenesis	8	3.98009950248756	0.076014012970454	180	135	6549	2.15604938271605	1
GOTERM_BP_DIRECT	GO:0060907~positive regulation of macrophage cytokine production	2	0.99502487562189	0.079788335863835	180	3	6549	24.2555555555556	1
GOTERM_BP_DIRECT	GO:0048205~COPI coating of Golgi vesicle	2	0.99502487562189	0.079788335863835	180	3	6549	24.2555555555556	1
